,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
364,0x9675c10616aa969828ab5c2f0f4908c2f2eba80f,196588.0584076,101889.96924692,3383442627769,7589,6904,1.4642332177368858,11.502217225554782,59.25316750520657,0,36.73796848042615,26.558710123248048,1847.86124623,1786.5052977,1719.89763743,1941.42439258,49076.81118660646,65632.57531701693,22330.685090445902,101909.38280244883,0.30290744664696584,0.00041870932857406766
365,0x31f626a16b5b1e4908d90654da234d1f5cfe213f,47066.57327052,28912.07347748,544652501000,8016,7300,1.3049415208161146,11.496973574093268,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,22320.504937592334,0.0,0.5257673676538352,1.0
367,0xeec46f4ad011ac3ab0da65546d40983f11321314,20965.48858362,12185.41101785,228077610485,8000,6900,1.3764320991988441,10.801081573398807,7.0863128676673215,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,20969.48323284281,12187.732759190834,0.00019053451613472894,0.0004187093288804754
368,0x38572343f1b2da16b03ee659fc6c2a272341f582,67443.50660625,17044.52160438,2855403321211,7584,6761,3.000914698423451,10.703403094330083,0.0,0,0.0,25.25974781349653,1847.86124623,1786.5052977,1719.89763743,1941.42439258,46676.50907410322,0.0,20779.847850948674,0.0,0.00019053455919660115,1.0
369,0xa56e8a460f2a14fa01d3e87804662aa37bfc7770,43112.086674,15109.32346167,1727647604784,8159,7512,2.3280427880542685,10.381469018732538,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,20154.837183780906,0.0,0.5325014691080617,1.0
370,0xcbaf8997219fa1272af4f5a9c1cb4e7d57020ed0,130212.32061693,95028.15101896,194096414447,8001,7447,1.0963369970738823,10.270856543277148,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,19940.091425808154,0.0,0.8468647872080427,1.0
371,0x36eee454d09971274fa580730338b29d50ad5ba0,112086.14589502,37215.42991821,5074977738020,8247,7848,2.4838472838490344,10.12165329350869,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,19650.424597255464,0.0,0.8246846259156767,1.0
373,0x46bdb2d3253c9ba0decfcf0d280520a998f44f1a,27676.74463052,16593.08454892,345041391250,8089,7242,1.3492198310462509,10.009798587778,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,19433.267143125046,0.0,0.2978485221959456,1.0
374,0x94672652e092537d50ee316d5b96f618ec3b3e82,18344.25655234,13036.66464665,347316625046,9300,9000,1.308629090038295,9.45066510771187,7.581351424876029,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,18347.75176621652,13039.148404170846,0.00019053450689297848,0.00041869574756505176
375,0xe2d35bd72ba56b32ba433ad31ef38e9ab690639c,17882.23770529,4005.81401821,833292999844,8000,6900,3.57125670318128,9.212640449536627,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17885.644888799583,0.0,0.00019053451619055635,1.0
376,0x9eebb524c0557b3357ed5dccafcb2d883a2e14cb,17796.86347625,5077.20121274,720263458587,8000,6900,2.8042006184971524,9.168657023620042,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17800.25439285589,0.0,0.00019053450684814778,1.0
377,0x44e753992d4b9f6461e8a434463412bea4b70980,17966.99981664,6006.17973802,642698413509,8005,6920,2.394630860308115,9.087926742128987,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17643.522655149307,0.0,0.018003960861128702,1.0
