,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt
855,0x1e0665a125861823d8109b0ae9707ecde171ce83,3.6936473243416827,2.6015470699472654,57879003578746188,8300,7200,1.1784246822279254,3.6946047806051823,2.6015470699472654,3.693647324341683,1.2023053931636866e-16,0.0
856,0xa4dc23608db92c532e9f1b73f6a80b687bf38554,3.6400053387432925,0.9132703107929325,1707533533102237872,8300,7200,3.3081163325388507,3.640948890090976,0.0,3.6400053387432925,0.0,1.0
857,0x824125c2a4c486077c82142fc547b7fbf14e732b,3.6131320086337904,2.514689528854856,86765517361472704,8300,7200,1.192552612461742,3.614068593956844,2.514689562070189,3.6131320086337904,0.0,1.3208522294849655e-08
858,0x812670d5b1a9b8fcf0bcd19f2807cced4df1a866,4.375884314502828,1.4131201057177232,1737516600724313179,8300,7200,2.5701877471997783,4.37701861820791,0.0,4.375884314502827,2.029711838488209e-16,1.0
859,0xe81c5244358a5b45a2866292572e6d37affb2667,3.4394915998556153,1.8058967810853042,670537170810738779,8300,7200,1.5808090793342584,3.44038317462883,1.8058968049385318,3.4394915998556153,0.0,1.3208522139896795e-08
860,0x40c73ed31c5b6e97d3f3e5a3ad86a2e4abb07347,84.3397664496543,32.61804490225229,35730901828547561758,8506,8104,2.199377846129653,3.389060590436983,0.0,3.3881823159036077,0.9598269895859133,1.0
861,0x539435db185fef6ea9e8ee9829a930ad7dc64106,197.7532860086041,105.47251319286906,57258665863611254357,8594,8229,1.611312453368984,3.899903489244004,0.0,3.8988928298515786,0.9802840554078989,1.0
862,0xa7239faa09a5d5125fb6174fb6c22f92d4ab1abc,3.3256343766331473,1.9351682897601952,459288461415671065,8300,7200,1.426375446110459,3.326496437675909,0.7646137546883222,3.3256343766331473,0.0,0.6048851364843972
863,0x5663f76ccf5616207d5c21e3b968b37f3e084086,3.270243071594395,1.586883979204674,767691032343290238,8300,7200,1.7104601123919096,3.271090774267963,0.0,3.2702430715943946,1.3579700350333548e-16,1.0
864,0x37ffe93c07b80062454dcca32c4c0971956ab0bd,3.6317660136672973,2.624698545831673,0,8300,7200,1.1484617142532503,3.632707429241663,0.0,3.6317660136672973,0.0,1.0
865,0x448443413655e8127ccfd79f10ba71f99fc08607,3.2723346701143257,1.1634511945075297,1192629767974784877,8300,7200,2.3344664469097443,3.273182914965836,0.0,3.2723346701143257,0.0,1.0
866,0xd2efc72ea0ae33a5a6bb98763cca121922350582,3.241871088623365,0.5774292476655519,1756717936143270636,8300,7200,4.659883465265483,3.24271143679597,0.0,3.2418710886233644,1.3698546231788681e-16,1.0
867,0x6d0ce9db4901b4bf2e8eb354d454b8a8bba91c70,3.2190245228315835,2.2975600701915795,20137586247160514,8300,7200,1.162881610197652,3.219858948785418,0.0,3.2190245228315835,0.0,1.0
868,0x08a6bd6c32755d4b33d189dc57db7e8560ea51cb,3.1154068207822467,1.6613043264037128,581788584559504627,8300,7200,1.5564804233350882,3.116214387263824,0.0,3.1154068207822467,0.0,1.0
869,0x143e30741b2dfb4f535c4adbb62995ce62494126,3.1512246683915555,1.8248078582982141,444073902943705731,8300,7200,1.4333106156196513,3.152041519468961,1.8248078824012293,3.151224668391555,1.40925911854052e-16,1.320852221768151e-08
