,Unnamed: 0,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdt,usdt_price,usdt_decimals,usdt_threshold,dai,dai_price,dai_decimals,dai_threshold,fei,fei_price,fei_decimals,fei_threshold,tusd,tusd_price,tusd_decimals,tusd_threshold,susd,susd_price,susd_decimals,susd_threshold,usdp,usdp_price,usdp_decimals,usdp_threshold,frax,frax_price,frax_decimals,frax_threshold,gusd,gusd_price,gusd_decimals,gusd_threshold,busd,busd_price,busd_decimals,busd_threshold,fei_debt,usdc_debt,usdt_debt,dai_debt,frax_debt,gusd_debt,susd_debt,tusd_debt,debt_stable_calc,diff_debt_stable,usdc_collateral,dai_collateral,fei_collateral,tusd_collateral,collateral_stable_calc
378,559,0xa4b37d73a9a6763fdb6cc1ffd289d2e70e8eb8fc,20.96114519951922,8.696338415619529,6395686128034308068,8300,7200,2.0005834276587926,20.96657266043213,0.0,20.961139176335752,2.873499233615623e-07,1.0,14987917741.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,8.696339147281115,0.0,0.0,0.0,0.0,0.0,0.0,8.696339147281115,8.41344427344507e-08,0,0,0,0,0.0
379,572,0xe9daebb99b1d29e1ae32f44fdfccbc8df0ef3aa7,41.35065446790697,17.626099171932108,9470984700887330589,7355,6553,1.7254757314412508,20.792890802315885,0.0,20.78750232784645,0.497287223253503,1.0,15441955064.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,1490235.0,581540734020714,2,0,0,582048488379007,18,0,0.0,8.959782182835712,0.0,0.0,0.0,8.666323557633586,0.0,0.0,17.6261057404693,3.7265972053293867e-07,0,0,0,0,0.0
380,563,0x37ca7cf3bc6c127cd5d70b9ca9b9d5e94b46c955,20.752373186704947,11.320392564137045,3621316130290520015,8300,7200,1.521543501904003,20.757752555102996,0.0,20.752373186704947,0.0,1.0,19510408224.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,11.320393516283485,0.0,0.0,0.0,0.0,0.0,0.0,11.320393516283485,8.410895951882928e-08,0,0,0,0,0.0
381,561,0xfa8711f7aa2d1cc462be56eeb2573282ce7426a1,20.74654046756726,7.802517121565021,7134992015083406981,8300,7200,2.2069324962438444,20.751918324025212,0.0,20.74654046756726,0.0,1.0,0.0,580223303700951,6,0.875,13433049034.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,7.802517982377159,0.0,0.0,0.0,0.0,0.0,7.802517982377159,1.1032492778974647e-07,0,0,0,0,0.0
382,566,0xd43f73b2c81e1fa55aaf7d7665481cbd0faab789,40.76461094328385,11.14338263068345,20322820556437353633,8448,7719,3.090438914846276,20.61418323356717,0.0,20.608841071136837,0.49444283670927,1.0,13183236567.0,580223303700951,6,0.875,6015655131.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,7.649221074375925,3.4941625848759577,0.0,0.0,0.0,0.0,0.0,11.143383659251882,9.230307046731463e-08,0,0,0,0,0.0
383,558,0xb3004ef48b138712e1bb5931a37540289f1a08ae,30.727035762381032,20.74163773121272,1381828017701624696,8266,7200,1.2245401298742642,20.52022769607401,0.0,20.51490988220683,0.3323498549989277,1.0,4700300969.0,580223303700951,6,0.875,31014158660.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,2.7272241566219613,18.014415792011047,0.0,0.0,0.0,0.0,0.0,20.741639948633008,1.0690671185228338e-07,0,0,0,0,0.0
384,570,0xe840532703c756803f4f0e9c787939fcbaeb4f03,60.47014279497569,27.154272453034807,16372136330788696337,8234,7198,1.833638358880731,20.44431733917477,0.0,20.43901919746497,0.6619981654952667,1.0,41844913490.0,580223303700951,6,0.875,2382477446.0,580844896987157,6,0,2.56672369176468e+21,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,24.279393948248295,1.383849866696095,1.4910310523017904,0.0,0.0,0.0,0.0,27.15427486724618,8.890723834386906e-08,0,0,0,0,0.0
385,569,0xa2011982de0d88b2fa136f5de831a85561b2bd91,105.74016237764263,20.911422796906106,64177685868382917808,8542,8047,4.31932573790942,20.43822736462937,0.0,20.432930801135537,0.8067628199003427,1.0,36040304521.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,20.91142455556294,0.0,0.0,0.0,0.0,0.0,0.0,20.91142455556294,8.410029548154832e-08,0,0,0,0,0.0
386,578,0x6360eb00145efba080f3fc1b1860389d1133c997,20.40800427735518,2.707235011757284,11986528067938444072,8300,7200,6.2568057359785,20.41076835496125,0.0,20.40547890746557,0.0001237440886078,1.0,3670104743.0,580223303700951,6,0.875,8923146.0,580844896987157,6,0,9.856495931926012e+20,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,2.12948029891199,0.005182963819171362,0.572572012661164,0.0,0.0,0.0,0.0,2.707235275392325,9.738166053709778e-08,0,0,0,0,0.0
387,581,0x42ecdd47265e5412973de30b074f9b944a1d8453,23.329611150587898,11.697696780889263,5036633297427434282,8300,7173,1.655332465671582,20.277301457597616,0.0,20.272046598027966,0.1310593876950616,1.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,2.0136911195226753e+22,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,0.0,11.697698504073864,0.0,0.0,0.0,0.0,11.697698504073864,1.4730973400228813e-07,0,0,0,0,0.0
